transaction_id,product,branch,city,customer_type,quantity,unit_price,payment_method,rating,sales
1,Milk,A,Lucknow,Member,5,40.5,UPI,2.31,202.5
2,Milk,A,Lucknow,Member,1,54.0,UPI,3.52,54.0
3,Cheese,B,Delhi,Member,9,55.0,Cash,2.83,495.0
4,Cheese,B,Delhi,Normal,7,55.0,UPI,4.87,385.0
5,Juice,B,Delhi,Member,2,63.0,Cash,3.03,126.0
6,Tea,C,Mumbai,Member,8,72.0,Debit Card,3.14,576.0
7,Tea,A,Lucknow,Member,10,88.0,UPI,2.68,880.0
8,Tea,A,Lucknow,Normal,4,72.0,UPI,3.91,288.0
9,Juice,B,Delhi,Member,6,70.0,Credit Card,4.11,420.0
10,Milk,C,Mumbai,Member,9,45.0,UPI,3.14,405.0
11,Coffee,A,Lucknow,Member,1,132.0,Debit Card,3.2,132.0
12,Milk,C,Mumbai,Normal,10,45.0,UPI,3.5,450.0
13,Snacks,A,Lucknow,Member,5,60.0,Credit Card,3.62,300.0
14,Water,A,Lucknow,Member,6,30.0,Cash,2.27,180.0
15,Cheese,C,Mumbai,Member,3,49.5,Credit Card,3.27,148.5
16,Milk,C,Mumbai,Normal,7,54.0,Cash,4.91,378.0
17,Cheese,B,Delhi,Normal,9,49.5,UPI,3.3,445.5
18,Snacks,C,Mumbai,Member,5,54.0,Cash,2.32,270.0
19,Tea,B,Delhi,Member,3,80.0,Cash,4.34,240.0
20,Cheese,A,Lucknow,Member,8,60.5,Debit Card,4.64,484.0
21,Tea,A,Lucknow,Member,1,80.0,UPI,3.46,80.0
22,Milk,C,Mumbai,Normal,3,45.0,Debit Card,2.5,135.0
23,Water,C,Mumbai,Member,9,25.0,Credit Card,3.2,225.0
24,Juice,B,Delhi,Member,9,84.0,UPI,2.19,756.0
25,Cheese,A,Lucknow,Member,10,55.0,UPI,3.89,550.0
26,Coffee,B,Delhi,Member,1,108.0,Cash,2.84,108.0
27,Snacks,A,Lucknow,Normal,9,60.0,UPI,3.42,540.0
28,Water,A,Lucknow,Normal,2,25.0,Cash,3.23,50.0
29,Cheese,B,Delhi,Normal,1,49.5,Debit Card,2.33,49.5
30,Coffee,B,Delhi,Member,9,120.0,Cash,2.84,1080.0
31,Coffee,C,Mumbai,Member,8,108.0,UPI,5.0,864.0
